,Falciparum_MSP_Variants_init,Falciparum_Nonspecific_Types_init,MSP1_Merozoite_Kill_Fraction_init,Max_Individual_Infections_init,Falciparum_PfEMP1_Variants_init,Antigen_Switch_Rate_init,Nonspecific_Antigenicity_Factor_init,Falciparum_MSP_Variants_optim,Falciparum_Nonspecific_Types_optim,MSP1_Merozoite_Kill_Fraction_optim,Max_Individual_Infections_optim,Falciparum_PfEMP1_Variants_optim,Antigen_Switch_Rate_optim,Nonspecific_Antigenicity_Factor_optim,loss,lr,stop_epoch,optimizer
158,381,238,0.21,11,2041,0.0000015,0.00000042,381.0,238.0,0.5671125650405884,11.0,2041.0,0.6047894954681396,0.2257920503616333,0.32235187292099,0.1,116,adam
55,16,322,0.82,8,1744,0.000011,0.0000090,16.0,322.0,0.43951553106307983,8.0,1744.0,0.1934610903263092,9.999999717180685e-10,0.3226175308227539,0.1,122,adam
69,203,493,0.46,8,5576,0.000070,0.33,203.0,493.0,1.0,8.0,5576.0,0.9900000095367432,0.6449485421180725,0.32263320684432983,0.1,113,adam
159,277,155,0.26,6,994,0.0018,0.0000000043,277.0,155.0,0.8774322867393494,6.0,994.0,0.5608823895454407,9.999999717180685e-10,0.3228144645690918,0.1,105,adam
129,302,448,0.36,8,7025,0.0015,0.000000093,302.0,448.0,1.0,8.0,7025.0,0.9900000095367432,0.839056670665741,0.3229040205478668,0.1,137,adam
52,291,1,0.75,11,1767,0.00010,0.077,291.0,1.0,0.4748099744319916,11.0,1767.0,0.48463883996009827,0.22411015629768372,0.32295164465904236,0.1,125,adam
155,373,11,0.32,8,9026,0.000000014,0.0000000032,373.0,11.0,1.0,8.0,9026.0,0.7767345905303955,0.8699762225151062,0.3230056166648865,0.1,149,adam
8,358,92,0.28,11,1945,0.00000023,0.015,358.0,92.0,0.7541027069091797,11.0,1945.0,0.5781641006469727,0.2648618519306183,0.3232327997684479,0.1,132,adam
58,378,464,0.13,10,5400,0.039,0.00000013,378.0,464.0,1.0,10.0,5400.0,0.9900000095367432,0.6708831787109375,0.3237902820110321,0.1,131,adam
28,118,399,0.010,10,4984,0.00005,0.00061,118.0,399.0,0.009999999776482582,10.0,4984.0,0.9900000095367432,0.7069191932678223,0.3241659104824066,0.1,125,adam
198,372,313,0.84,7,8197,0.00029,0.000079,372.0,313.0,1.0,7.0,8197.0,0.9011037945747375,0.9183239936828613,0.32429465651512146,0.1,138,adam
126,289,150,0.76,10,4331,0.00019,0.0061,289.0,150.0,1.0,10.0,4331.0,0.7389361262321472,0.49332094192504883,0.32451939582824707,0.1,129,adam
11,408,213,0.43,8,7267,0.0000056,0.00000033,408.0,213.0,1.0,8.0,7267.0,0.692720353603363,0.7776850461959839,0.3250017464160919,0.1,145,adam
170,227,165,0.88,10,5451,0.18,0.0000014,227.0,165.0,0.22519893944263458,10.0,5451.0,0.9900000095367432,0.7150672674179077,0.3255912661552429,0.1,135,adam
142,241,124,0.52,9,6700,0.000000028,0.067,241.0,124.0,1.0,9.0,6700.0,0.6869924664497375,0.5821371078491211,0.32572752237319946,0.1,154,adam
54,473,119,0.78,9,9253,0.000077,0.64,473.0,119.0,0.09995412826538086,9.0,9253.0,0.22117528319358826,0.8089728951454163,0.3258556127548218,0.1,113,adam
121,310,330,0.9,9,7591,0.0058,0.000054,310.0,330.0,1.0,9.0,7591.0,0.9900000095367432,0.8349084258079529,0.32624638080596924,0.1,160,adam
10,411,228,0.55,7,8638,0.0000019,0.000051,411.0,228.0,1.0,7.0,8638.0,0.7607396841049194,0.905728280544281,0.3263002336025238,0.1,131,adam
30,283,479,0.76,11,2460,0.0000000054,0.0000000031,283.0,479.0,0.09074153751134872,11.0,2460.0,0.6323908567428589,0.3917352259159088,0.32655948400497437,0.1,116,adam
33,340,116,0.11,6,9553,0.08,0.0000056,340.0,116.0,0.9950047731399536,6.0,9553.0,0.7588696479797363,0.9041821360588074,0.32680127024650574,0.1,136,adam
60,145,402,0.99,11,598,0.0000000014,0.000000084,145.0,402.0,0.9147565364837646,11.0,598.0,9.999999717180685e-10,0.3172960579395294,0.32723021507263184,0.1,119,adam
143,414,142,0.64,9,8668,0.0000000084,0.0029,414.0,142.0,1.0,9.0,8668.0,0.9031880497932434,0.9213590025901794,0.3277796804904938,0.1,147,adam
38,422,337,0.71,11,7649,0.0055,0.0000054,422.0,337.0,1.0,11.0,7649.0,0.9900000095367432,0.8598402738571167,0.32785654067993164,0.1,166,adam
145,64,6,0.99,8,8248,0.00063,0.000000047,64.0,6.0,0.13208727538585663,8.0,8248.0,0.4425520598888397,0.711545467376709,0.32804811000823975,0.1,116,adam
164,315,105,0.20,9,1156,0.000000010,0.12,315.0,105.0,1.0,9.0,1156.0,0.4739595949649811,9.999999717180685e-10,0.3282417953014374,0.1,113,adam
66,237,76,0.61,10,8815,0.0000036,0.0011,237.0,76.0,1.0,10.0,8815.0,0.7687510848045349,0.7404010891914368,0.328586608171463,0.1,138,adam
6,224,218,0.51,9,8359,0.000000043,0.0000000024,224.0,218.0,1.0,9.0,8359.0,0.9604619145393372,0.779407799243927,0.3286987841129303,0.1,115,adam
135,213,255,0.10,10,3956,0.000000041,0.000034,213.0,255.0,0.3392551839351654,10.0,3956.0,0.2486121952533722,0.4826284646987915,0.32938510179519653,0.1,122,adam
12,432,278,0.092,8,7527,0.0000000052,0.00042,432.0,278.0,1.0,8.0,7527.0,0.6870012879371643,0.8106134533882141,0.3294445276260376,0.1,170,adam
169,155,365,0.54,11,7680,0.0045,0.00000014,155.0,365.0,1.0,11.0,7680.0,0.9900000095367432,0.6727591753005981,0.3295086622238159,0.1,130,adam
107,314,264,0.076,6,8338,0.0000000059,0.054,314.0,264.0,0.9549078345298767,6.0,8338.0,0.8082246780395508,0.8632112145423889,0.32978710532188416,0.1,123,adam
150,335,259,0.022,9,4093,0.000000023,0.4,335.0,259.0,0.009999999776482582,9.0,4093.0,0.5608615875244141,0.5818608999252319,0.3300674259662628,0.1,136,adam
45,344,21,0.93,9,9135,0.0000043,0.0054,344.0,21.0,0.9967542290687561,9.0,9135.0,0.7817175388336182,0.8589282035827637,0.33096516132354736,0.1,121,adam
177,173,52,0.56,7,1082,0.0011,0.000000014,173.0,52.0,0.7110735177993774,7.0,1082.0,0.17073968052864075,9.999999717180685e-10,0.33101993799209595,0.1,110,adam
115,256,192,0.19,8,3225,0.00000049,0.000000011,256.0,192.0,0.4270917475223541,8.0,3225.0,0.4773290455341339,0.3925619423389435,0.33109933137893677,0.1,138,adam
136,429,220,0.11,10,7805,0.0000099,0.00016,429.0,220.0,1.0,10.0,7805.0,0.7463699579238892,0.8114780783653259,0.3313751220703125,0.1,152,adam
192,493,179,0.43,11,3132,0.0000002,0.0000000010,493.0,179.0,0.7309312224388123,11.0,3132.0,0.6444488167762756,0.46562492847442627,0.3313990533351898,0.1,122,adam
20,321,128,0.35,9,6071,0.0000011,0.0000000069,321.0,128.0,0.9073710441589355,9.0,6071.0,0.5728681087493896,0.6099396347999573,0.3321468234062195,0.1,162,adam
122,496,450,0.74,11,4806,0.00000091,0.000000039,496.0,450.0,0.9423769116401672,11.0,4806.0,0.8406683206558228,0.5100410580635071,0.3335902690887451,0.1,142,adam
59,245,481,0.97,8,1293,0.0000012,0.00000062,245.0,481.0,0.6933901309967041,8.0,1293.0,0.20989970862865448,0.1696680188179016,0.33409979939460754,0.1,117,adam
67,102,62,0.97,6,9544,0.071,0.0000000051,102.0,62.0,0.3908435106277466,6.0,9544.0,0.32870110869407654,0.7895904183387756,0.33448779582977295,0.1,141,adam
50,392,301,0.49,6,9321,0.00066,0.45,392.0,301.0,1.0,6.0,9321.0,0.8308963179588318,0.9900000095367432,0.3347444534301758,0.1,124,adam
125,189,486,0.83,11,3670,0.000000015,0.000000053,189.0,486.0,0.9911620020866394,11.0,3670.0,0.7082595825195312,0.46772441267967224,0.33484405279159546,0.1,105,adam
91,415,348,0.15,7,9063,0.13,0.0027,415.0,348.0,1.0,7.0,9063.0,0.8253817558288574,0.9724335670471191,0.33564671874046326,0.1,116,adam
65,462,127,0.89,10,6861,0.00000010,0.00037,462.0,127.0,0.7628094553947449,10.0,6861.0,0.7419852018356323,0.8074005842208862,0.3359428346157074,0.1,132,adam
62,107,135,0.67,8,6325,0.0000000038,0.0000000089,107.0,135.0,0.6857425570487976,8.0,6325.0,0.723402202129364,0.5544366240501404,0.3363690674304962,0.1,151,adam
27,248,489,0.73,10,1044,0.000013,0.000087,248.0,489.0,0.5884950757026672,10.0,1044.0,0.2598479688167572,0.12728704512119293,0.3363904654979706,0.1,143,adam
78,320,14,0.86,10,9428,0.70,0.31,320.0,14.0,1.0,10.0,9428.0,0.8715842366218567,0.8662232160568237,0.336516410112381,0.1,128,adam
113,484,312,0.27,10,7948,0.00045,0.0000011,484.0,312.0,1.0,10.0,7948.0,0.7786828279495239,0.8664290904998779,0.3367976248264313,0.1,131,adam
184,179,109,0.68,6,4167,0.00014,0.012,179.0,109.0,0.5613690614700317,6.0,4167.0,0.6007540225982666,0.45185214281082153,0.33752691745758057,0.1,123,adam
197,216,95,0.3,7,8473,0.035,0.0016,216.0,95.0,0.8041765689849854,7.0,8473.0,0.5450815558433533,0.6930780410766602,0.33800220489501953,0.1,165,adam
151,361,393,0.21,11,8252,0.0000000031,0.011,361.0,393.0,1.0,11.0,8252.0,0.9459742903709412,0.8680639863014221,0.33969226479530334,0.1,149,adam
0,84,415,0.27,7,3265,0.000000021,0.00011,84.0,415.0,1.0,7.0,3265.0,0.6260569095611572,0.34052783250808716,0.34115028381347656,0.1,119,adam
63,108,389,0.19,6,6186,0.0000000013,0.00000034,108.0,389.0,1.0,6.0,6186.0,0.8199833631515503,0.5320895910263062,0.3411746025085449,0.1,116,adam
128,349,477,0.34,9,2674,0.0000065,0.000000030,349.0,477.0,0.16836917400360107,9.0,2674.0,0.6663092970848083,0.35989394783973694,0.34154972434043884,0.1,112,adam
48,438,385,0.96,9,854,0.00012,0.041,438.0,385.0,1.0,9.0,854.0,0.4585801959037781,0.03160481154918671,0.342336505651474,0.1,127,adam
105,177,391,0.64,9,5330,0.000000035,0.000031,177.0,391.0,0.009999999776482582,9.0,5330.0,0.7201530337333679,0.7006938457489014,0.34289711713790894,0.1,150,adam
