,Falciparum_MSP_Variants_init,Falciparum_Nonspecific_Types_init,MSP1_Merozoite_Kill_Fraction_init,Max_Individual_Infections_init,Falciparum_PfEMP1_Variants_init,Antigen_Switch_Rate_init,Nonspecific_Antigenicity_Factor_init,Falciparum_MSP_Variants_optim,Falciparum_Nonspecific_Types_optim,MSP1_Merozoite_Kill_Fraction_optim,Max_Individual_Infections_optim,Falciparum_PfEMP1_Variants_optim,Antigen_Switch_Rate_optim,Nonspecific_Antigenicity_Factor_optim,loss,lr,stop_epoch,optimizer,ll
551,142,269,0.83,7,7888,0.74,4.5e-07,142.0,269.0,1.0,7.0,7888.0,0.1871368288993835,0.730452299118042,0.3939276933670044,0.5,145,adamax,25.433442308381277
552,216,38,0.16,8,8006,0.0018,0.00099,216.0,38.0,1.0,8.0,8006.0,0.6991937160491943,0.7545948028564453,0.3942007422447204,0.5,123,adamax,11.020547008315457
553,80,172,0.25,9,8653,2.7e-07,0.00016,80.0,172.0,1.0,10.0,8652.0,0.9593053460121156,0.6408000588417053,0.3980986177921295,0.5,106,adamax,3.3834303044101013
554,114,431,0.71,10,634,5.5e-07,3.4e-06,114.0,431.0,0.9636743068695068,10.0,634.0,0.9675846695899964,9.999999717180683e-10,0.3989421725273132,0.5,138,adamax,-44.86316304660059
555,225,318,0.093,6,4322,0.012,0.79,225.0,318.0,0.1446567177772522,6.0,4322.0,0.9900000095367432,0.841362714767456,0.4004640281200409,0.5,201,adamax,22.887814714946618
556,68,310,0.14,9,7241,5.4e-09,4.3e-05,68.0,310.0,1.0,10.0,7240.0,0.9900000095367432,0.5888075828552246,0.4052595198154449,0.5,144,adamax,5.487402091579853
557,14,158,0.34,8,827,5.2e-05,1.1e-09,14.0,158.0,0.0099999997764825,8.0,827.0,0.5285413861274719,9.999999717180683e-10,0.4083358347415924,0.5,133,adamax,-11.385136943397626
558,132,87,0.7,6,7968,2.7e-05,0.0063,132.0,87.0,1.0,6.0,7968.0,0.9636526703834534,0.7167730331420898,0.4204989969730377,0.5,106,adamax,-3.3448750052823235
559,494,334,0.038,6,4886,1e-09,0.19,494.0,334.0,0.0099999997764825,6.0,4886.0,0.9673296809196472,0.8783122301101685,0.4212445616722107,0.5,109,adamax,4.293883366441678
560,326,295,0.56,8,5222,1.3e-09,2.3e-06,326.0,295.0,0.0099999997764825,8.0,5222.0,0.9900000095367432,0.8809360861778259,0.423210859298706,0.5,110,adamax,16.501584583573806
561,314,349,0.18,11,1098,0.12,0.00046,314.0,349.0,0.0099999997764825,11.0,1098.0,0.8902778029441833,0.0294616091996431,0.4269267320632934,0.5,151,adamax,-8.018435881282212
562,3,385,0.75,9,9434,0.042,5.4e-07,3.0,385.0,1.0,10.0,9434.0,0.910684049129486,0.4401163458824157,0.4376939833164215,0.5,116,adamax,-3.089029553946336
563,406,204,0.28,8,6116,0.075,0.28,406.0,204.0,0.0099999997764825,8.0,6116.0,0.4184828400611877,0.5163881778717041,0.4425047636032104,0.5,126,adamax,-40.64286604483499
564,499,376,0.29,6,5107,0.00021,0.057,499.0,376.0,0.0099999997764825,6.0,5106.0,0.9900000095367432,0.8136134147644043,0.443983256816864,0.5,108,adamax,4.930205208346537
565,74,447,0.4,7,9042,0.17,0.16,74.0,447.0,1.0,7.0,9042.0,0.2485444992780685,0.515464186668396,0.445763349533081,0.5,131,adamax,12.011013289699362
566,310,79,0.97,7,4067,0.025,0.0014,310.0,79.0,0.0099999997764825,7.0,4066.0,0.8483594655990601,0.366201639175415,0.4559683799743652,0.5,132,adamax,-80.80883752265723
567,162,254,0.34,6,5630,3.8e-07,2.4e-07,162.0,254.0,1.0,6.0,5630.0,0.9900000095367432,0.5670468211174011,0.456092894077301,0.5,139,adamax,-1.041387487302518
568,239,305,0.64,10,5022,2e-06,0.046,239.0,305.0,0.0099999997764825,10.0,5022.0,0.9900000095367432,0.418921560049057,0.4665684401988983,0.5,122,adamax,-81.47645334981658
569,59,150,0.37,9,6596,1.5e-07,6.5e-09,59.0,150.0,0.0099999997764825,9.0,6596.0,0.9900000095367432,0.4097694158554077,0.478894293308258,0.5,141,adamax,-79.76882104544863
570,138,198,0.36,8,8788,2.5e-09,0.0043,138.0,198.0,1.0,8.0,8788.0,0.8977475166320801,0.5905059576034546,0.4800069332122803,0.5,106,adamax,4.2326885107581385
571,470,330,0.019,7,5944,0.62,0.34,470.0,330.0,0.0099999997764825,7.0,5944.0,0.8283650279045105,0.4372009038925171,0.4818185567855835,0.5,169,adamax,-59.70344987218117
572,296,81,0.4,11,8826,1e-08,1.8e-09,296.0,81.0,0.0099999997764825,11.0,8826.0,0.9900000095367432,0.5292782187461853,0.4825204610824585,0.5,141,adamax,-65.54963864920838
573,262,285,0.25,8,5779,0.92,0.0013,262.0,285.0,1.0,8.0,5778.0,0.9900000095367432,0.6539834141731262,0.4838196635246277,0.5,116,adamax,-0.655792042889352
574,97,413,0.28,6,6234,3.9e-06,6.3e-09,97.0,413.0,1.0,6.0,6234.0,0.9900000095367432,0.5155285596847534,0.4856395423412323,0.5,108,adamax,-5.082092339070176
575,282,280,0.11,11,8154,5.6e-08,1e-05,282.0,280.0,1.0,11.0,8154.0,0.8365948796272278,0.8922960758209229,0.497891902923584,0.5,126,adamax,2.0246795877064
576,429,95,0.3,6,9594,1.9e-07,0.015,429.0,95.0,1.0,6.0,9594.0,0.5603124499320984,0.9900000095367432,0.5030887126922607,0.5,106,adamax,-5.338904966970504
577,450,480,0.66,8,7030,0.0083,2.8e-06,450.0,480.0,0.0099999997764825,8.0,7030.0,0.9900000095367432,0.4751947820186615,0.5241478085517883,0.5,202,adamax,-63.27908154388067
578,185,355,0.32,11,7423,1.3e-07,4.4e-08,185.0,355.0,0.1366029530763626,11.0,7423.0,0.9900000095367432,0.4283647537231445,0.5262312293052673,0.5,206,adamax,-82.00131814968537
579,175,343,0.81,9,7620,0.00028,0.00049,175.0,343.0,0.129180446267128,10.0,7620.0,0.9900000095367432,0.4174927771091461,0.5385380387306213,0.5,128,adamax,-82.49284366281819
